Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,NA_Sales_log,EU_Sales_log,JP_Sales_log,Other_Sales_log,Global_Sales_log
24,Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,0.6,0.275,0.06,0.1,1.085,0.4700036292457356,0.24294617861038947,0.05826890812397577,0.09531017980432487,0.7347688552507647
25,Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
27,Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
28,Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
29,Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
30,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
31,Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
32,Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
33,Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
34,Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
35,Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
36,Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,0.6,0.275,0.07,0.1,1.085,0.4700036292457356,0.24294617861038947,0.06765864847381481,0.09531017980432487,0.7347688552507647
37,Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,0.6,0.275,0.08,0.1,1.085,0.4700036292457356,0.24294617861038947,0.07696104113612832,0.09531017980432487,0.7347688552507647
38,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
39,Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
40,Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
41,Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
42,Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
43,Mario Kart 7,3DS,2011.0,Racing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
44,Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
45,Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
47,Super Mario 64,N64,1996.0,Platform,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
48,Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,0.6,0.01,0.1,0.1,1.085,0.4700036292457356,0.009950330853168083,0.09531017980432487,0.09531017980432487,0.7347688552507647
49,Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
51,Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
52,Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
53,Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
54,Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
55,Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
56,Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
57,Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
58,Super Mario All-Stars,SNES,1993.0,Platform,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
60,Super Mario 64,DS,2004.0,Platform,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
61,Just Dance 3,Wii,2011.0,Misc,Ubisoft,0.6,0.275,0.0,0.1,1.085,0.4700036292457356,0.24294617861038947,0.0,0.09531017980432487,0.7347688552507647
62,Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,0.6,0.275,0.04,0.1,1.085,0.4700036292457356,0.24294617861038947,0.039220713153281295,0.09531017980432487,0.7347688552507647
63,Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,0.6,0.275,0.08,0.1,1.085,0.4700036292457356,0.24294617861038947,0.07696104113612832,0.09531017980432487,0.7347688552507647
64,Mario Kart 64,N64,1996.0,Racing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
65,New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
66,Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,0.6,0.275,0.04,0.1,1.085,0.4700036292457356,0.24294617861038947,0.039220713153281295,0.09531017980432487,0.7347688552507647
67,Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
68,Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
69,Just Dance 2,Wii,2010.0,Misc,Ubisoft,0.6,0.275,0.01,0.1,1.085,0.4700036292457356,0.24294617861038947,0.009950330853168083,0.09531017980432487,0.7347688552507647
70,Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
71,Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
72,Donkey Kong Country,SNES,1994.0,Platform,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
73,Minecraft,X360,2013.0,Misc,Microsoft Game Studios,0.6,0.275,0.02,0.1,1.085,0.4700036292457356,0.24294617861038947,0.019802627296179712,0.09531017980432487,0.7347688552507647
74,Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
75,Mario Party DS,DS,2007.0,Misc,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
76,The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
77,Super Mario Kart,SNES,1992.0,Racing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
78,FIFA 16,PS4,2015.0,Sports,Electronic Arts,0.6,0.275,0.06,0.1,1.085,0.4700036292457356,0.24294617861038947,0.05826890812397577,0.09531017980432487,0.7347688552507647
79,Wii Party,Wii,2010.0,Misc,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
80,Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,0.6,0.275,0.05,0.08,1.085,0.4700036292457356,0.24294617861038947,0.048790164169432,0.07696104113612832,0.7347688552507647
81,Mario Party 8,Wii,2007.0,Misc,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
82,Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
83,FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
84,The Sims 3,PC,2009.0,Simulation,Electronic Arts,0.6,0.275,0.0,0.1,1.085,0.4700036292457356,0.24294617861038947,0.0,0.09531017980432487,0.7347688552507647
85,GoldenEye 007,N64,1997.0,Shooter,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
86,Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,Sega,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
87,Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
88,Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
89,Pokémon Platinum Version,DS,2008.0,Role-Playing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
90,Pac-Man,2600,1982.0,Puzzle,Atari,0.6,0.275,0.0,0.08,1.085,0.4700036292457356,0.24294617861038947,0.0,0.07696104113612832,0.7347688552507647
91,Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
92,Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
93,Star Wars Battlefront (2015),PS4,2015.0,Shooter,Electronic Arts,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
94,Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
95,The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,Sony Computer Entertainment,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
97,Super Mario Bros. 2,NES,1988.0,Platform,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
98,Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
99,Call of Duty: World at War,X360,2008.0,Shooter,Activision,0.6,0.275,0.0,0.1,1.085,0.4700036292457356,0.24294617861038947,0.0,0.09531017980432487,0.7347688552507647
100,Battlefield 3,X360,2011.0,Shooter,Electronic Arts,0.6,0.275,0.06,0.1,1.085,0.4700036292457356,0.24294617861038947,0.05826890812397577,0.09531017980432487,0.7347688552507647
101,The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
102,Call of Duty: Black Ops 3,XOne,2015.0,Shooter,Activision,0.6,0.275,0.01,0.1,1.085,0.4700036292457356,0.24294617861038947,0.009950330853168083,0.09531017980432487,0.7347688552507647
103,Just Dance,Wii,2009.0,Misc,Ubisoft,0.6,0.275,0.0,0.1,1.085,0.4700036292457356,0.24294617861038947,0.0,0.09531017980432487,0.7347688552507647
104,Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
105,Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,0.6,0.275,0.08,0.1,1.085,0.4700036292457356,0.24294617861038947,0.07696104113612832,0.09531017980432487,0.7347688552507647
106,Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
107,Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
108,Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
109,Mario Kart 8,WiiU,2014.0,Racing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
110,Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
111,Mario Kart: Double Dash!!,GC,2003.0,Racing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
112,Just Dance 4,Wii,2012.0,Misc,Ubisoft,0.6,0.275,0.0,0.1,1.085,0.4700036292457356,0.24294617861038947,0.0,0.09531017980432487,0.7347688552507647
113,FIFA 14,PS3,2013.0,Sports,Electronic Arts,0.6,0.275,0.07,0.1,1.085,0.4700036292457356,0.24294617861038947,0.06765864847381481,0.09531017980432487,0.7347688552507647
114,Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,0.6,0.275,0.08,0.1,1.085,0.4700036292457356,0.24294617861038947,0.07696104113612832,0.09531017980432487,0.7347688552507647
115,Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
116,Uncharted 3: Drake's Deception,PS3,2011.0,Action,Sony Computer Entertainment,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
117,Crash Bandicoot,PS,1996.0,Platform,Sony Computer Entertainment,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
118,Zumba Fitness,Wii,2010.0,Sports,505 Games,0.6,0.275,0.0,0.1,1.085,0.4700036292457356,0.24294617861038947,0.0,0.09531017980432487,0.7347688552507647
119,Gears of War 2,X360,2008.0,Shooter,Microsoft Game Studios,0.6,0.275,0.06,0.1,1.085,0.4700036292457356,0.24294617861038947,0.05826890812397577,0.09531017980432487,0.7347688552507647
120,Uncharted 2: Among Thieves,PS3,2009.0,Action,Sony Computer Entertainment,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
121,Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
122,FIFA 12,PS3,2011.0,Sports,Electronic Arts,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
123,Big Brain Academy,DS,2005.0,Misc,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
124,Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
125,FIFA 15,PS4,2014.0,Sports,Electronic Arts,0.6,0.275,0.05,0.1,1.085,0.4700036292457356,0.24294617861038947,0.048790164169432,0.09531017980432487,0.7347688552507647
126,Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
127,The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
128,The Legend of Zelda,NES,1986.0,Action,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
129,Assassin's Creed III,PS3,2012.0,Action,Ubisoft,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
130,Halo: Combat Evolved,XB,2001.0,Shooter,Microsoft Game Studios,0.6,0.275,0.08,0.07,1.085,0.4700036292457356,0.24294617861038947,0.07696104113612832,0.06765864847381481,0.7347688552507647
131,Pokémon Emerald Version,GBA,2004.0,Role-Playing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
132,Kingdom Hearts,PS2,2002.0,Role-Playing,Sony Computer Entertainment,0.6,0.275,0.1,0.07,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.06765864847381481,0.7347688552507647
133,Pokémon Crystal Version,GB,2000.0,Role-Playing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
134,Halo 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,0.6,0.275,0.06,0.1,1.085,0.4700036292457356,0.24294617861038947,0.05826890812397577,0.09531017980432487,0.7347688552507647
135,Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,0.6,0.275,0.09,0.1,1.085,0.4700036292457356,0.24294617861038947,0.08617769624105233,0.09531017980432487,0.7347688552507647
136,Super Mario Sunshine,GC,2002.0,Platform,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
137,Street Fighter II: The World Warrior,SNES,1992.0,Fighting,Capcom,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
138,World of Warcraft,PC,2004.0,Role-Playing,Activision,0.07,0.275,0.0,0.0,1.085,0.06765864847381481,0.24294617861038947,0.0,0.0,0.7347688552507647
139,Driver,PS,1999.0,Action,GT Interactive,0.6,0.275,0.02,0.1,1.085,0.4700036292457356,0.24294617861038947,0.019802627296179712,0.09531017980432487,0.7347688552507647
140,Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios,0.6,0.275,0.03,0.1,1.085,0.4700036292457356,0.24294617861038947,0.0295588022415444,0.09531017980432487,0.7347688552507647
